time,open,high,low,close,volume 
2020-12-07 19:58:00,123.51,123.51,123.5,123.51,743
2020-12-07 19:57:00,123.51,123.51,123.5,123.51,4115
2020-12-07 19:56:00,123.52,123.52,123.51,123.51,2023
2020-12-07 19:55:00,123.5201,123.5201,123.52,123.52,987
2020-12-07 19:53:00,123.58,123.6,123.5,123.52,1099
2020-12-07 19:52:00,123.54,123.54,123.54,123.54,460
2020-12-07 19:51:00,123.54,123.54,123.5,123.54,4437
2020-12-07 19:50:00,123.54,123.55,123.53,123.53,1652
2020-12-07 19:48:00,123.6,123.6,123.58,123.58,1300
2020-12-07 19:47:00,123.6,123.6,123.6,123.6,301
2020-12-07 19:46:00,123.6,123.63,123.58,123.58,3807
2020-12-07 19:45:00,123.63,123.63,123.6,123.61,2131
2020-12-07 19:44:00,123.6,123.64,123.6,123.64,1520
2020-12-07 19:43:00,123.61,123.64,123.61,123.64,1659
2020-12-07 19:42:00,123.63,123.64,123.63,123.63,940
2020-12-07 19:40:00,123.66,123.66,123.66,123.66,319
2020-12-07 19:39:00,123.66,123.66,123.64,123.64,894
2020-12-07 19:38:00,123.66,123.66,123.66,123.66,217
2020-12-07 19:37:00,123.65,123.65,123.65,123.65,2066
2020-12-07 19:36:00,123.65,123.65,123.64,123.65,1480
2020-12-07 19:35:00,123.62,123.64,123.62,123.64,4367
2020-12-07 19:34:00,123.61,123.63,123.6,123.63,2123
2020-12-07 19:33:00,123.58,123.6,123.58,123.6,1226
2020-12-07 19:32:00,123.55,123.56,123.55,123.56,2949
2020-12-07 19:30:00,123.54,123.54,123.54,123.54,600
2020-12-07 19:28:00,123.53,123.53,123.53,123.53,207
2020-12-07 19:27:00,123.53,123.53,123.53,123.53,447
2020-12-07 19:25:00,123.51,123.5101,123.51,123.5101,755
2020-12-07 19:24:00,123.51,123.51,123.51,123.51,672
2020-12-07 19:21:00,123.55,123.55,123.55,123.55,320
2020-12-07 19:20:00,123.53,123.53,123.53,123.53,574
2020-12-07 19:18:00,123.53,123.53,123.53,123.53,273
2020-12-07 19:17:00,123.56,123.57,123.56,123.56,1115
2020-12-07 19:16:00,123.56,123.56,123.56,123.56,334
2020-12-07 19:15:00,123.56,123.56,123.55,123.55,1959
2020-12-07 19:14:00,123.57,123.62,123.57,123.57,1851
2020-12-07 19:13:00,123.63,123.63,123.57,123.57,1600
2020-12-07 19:12:00,123.62,123.62,123.62,123.62,1137
2020-12-07 19:11:00,123.58,123.58,123.58,123.58,695
2020-12-07 19:10:00,123.58,123.6,123.58,123.6,834
2020-12-07 19:09:00,123.63,123.63,123.54,123.58,1724
2020-12-07 19:08:00,123.54,123.55,123.54,123.55,524
2020-12-07 19:07:00,123.52,123.52,123.52,123.52,171
2020-12-07 19:06:00,123.51,123.51,123.51,123.51,1536
2020-12-07 19:05:00,123.54,123.55,123.5399,123.55,526
2020-12-07 19:04:00,123.53,123.53,123.51,123.51,1413
2020-12-07 19:03:00,123.55,123.63,123.53,123.54,4123
2020-12-07 19:02:00,123.6,123.6,123.55,123.55,6495
2020-12-07 19:01:00,123.61,123.61,123.6,123.6,5535
2020-12-07 19:00:00,123.62,123.62,123.6,123.6,2680
2020-12-07 18:59:00,123.62,123.62,123.62,123.62,789
2020-12-07 18:56:00,123.63,123.63,123.63,123.63,544
2020-12-07 18:51:00,123.65,123.65,123.65,123.65,536
2020-12-07 18:50:00,123.63,123.63,123.63,123.63,159
2020-12-07 18:49:00,123.63,123.63,123.63,123.63,428
2020-12-07 18:48:00,123.64,123.64,123.64,123.64,237
2020-12-07 18:46:00,123.63,123.63,123.63,123.63,609
2020-12-07 18:45:00,123.61,123.62,123.61,123.62,349
2020-12-07 18:44:00,123.63,123.63,123.63,123.63,320
2020-12-07 18:43:00,123.62,123.62,123.62,123.62,923
2020-12-07 18:42:00,123.62,123.62,123.6,123.61,810
2020-12-07 18:41:00,123.6,123.6,123.6,123.6,485
2020-12-07 18:40:00,123.58,123.58,123.57,123.57,1677
2020-12-07 18:39:00,123.58,123.58,123.58,123.58,361
2020-12-07 18:38:00,123.59,123.59,123.59,123.59,585
2020-12-07 18:37:00,123.59,123.61,123.59,123.61,412
2020-12-07 18:36:00,123.58,123.58,123.58,123.58,337
2020-12-07 18:35:00,123.64,123.64,123.56,123.56,1604
2020-12-07 18:34:00,123.63,123.65,123.63,123.65,1743
2020-12-07 18:33:00,123.61,123.63,123.6,123.63,1576
2020-12-07 18:31:00,123.62,123.64,123.62,123.63,807
2020-12-07 18:30:00,123.6,123.6,123.6,123.6,559
2020-12-07 18:29:00,123.58,123.6,123.58,123.6,1578
2020-12-07 18:28:00,123.56,123.58,123.56,123.58,2410
2020-12-07 18:27:00,123.56,123.56,123.56,123.56,885
2020-12-07 18:26:00,123.56,123.56,123.56,123.56,470
2020-12-07 18:25:00,123.57,123.59,123.57,123.59,1925
2020-12-07 18:24:00,123.59,123.59,123.59,123.59,2357
2020-12-07 18:22:00,123.57,123.57,123.56,123.57,1719
2020-12-07 18:21:00,123.57,123.59,123.57,123.59,4351
2020-12-07 18:20:00,123.58,123.58,123.58,123.58,504
2020-12-07 18:19:00,123.6,123.6,123.57,123.58,6275
2020-12-07 18:18:00,123.6,123.61,123.59,123.59,1039
2020-12-07 18:17:00,123.66,123.66,123.61,123.61,3171
2020-12-07 18:14:00,123.61,123.63,123.61,123.63,770
2020-12-07 18:13:00,123.65,123.65,123.6,123.61,1221
2020-12-07 18:10:00,123.63,123.63,123.63,123.63,250
2020-12-07 18:09:00,123.62,123.63,123.62,123.63,600
2020-12-07 18:08:00,123.66,123.66,123.66,123.66,375
2020-12-07 18:07:00,123.61,123.63,123.6,123.6,3776
2020-12-07 18:06:00,123.63,123.63,123.59,123.59,611
2020-12-07 18:05:00,123.6,123.6,123.59,123.59,693
2020-12-07 18:04:00,123.62,123.63,123.62,123.63,922
2020-12-07 18:03:00,123.62,123.62,123.62,123.62,404
2020-12-07 18:01:00,123.64,123.64,123.64,123.64,415
2020-12-07 18:00:00,123.6,123.6,123.6,123.6,550
2020-12-07 17:59:00,123.58,123.6,123.57,123.6,3225
2020-12-07 17:58:00,123.6,123.6,123.58,123.58,2263
2020-12-07 17:57:00,123.64,123.65,123.64,123.65,737
